      #wys\psi      +0.00000      +0.00001      +0.00001      +1.00000      +2.00000      +3.00000      +5.00000     +10.00000     +90.00000    +180.00000
        26.001       100.000       100.000       100.000        82.601        73.148      -471.672       102.792        96.587        95.289        95.280
        27.001       100.000       100.000       100.000        84.344        75.654      -421.987       102.711        97.041        95.854        95.846
        28.001       100.000       100.000       100.000        85.935        77.963      -375.626       102.607        97.436        96.353        96.346
        29.001       100.000       100.000       100.000        87.386        80.088      -332.489       102.486        97.780        96.795        96.788
        30.001       100.000       100.000       100.000        88.706        82.039      -292.454       102.354        98.080        97.185        97.179
        31.001       100.000       100.000       100.000        89.906        83.828      -255.383       102.215        98.342        97.530        97.525
        32.001       100.000       100.000       100.000        90.996        85.467      -221.113       102.072        98.570        97.835        97.830
        33.001       100.000       100.000       100.000        91.979        86.959      -189.661       101.929        98.767        98.104        98.099
        34.001       100.000       100.000       100.000        92.864        88.312      -160.901       101.788        98.938        98.340        98.336
        35.001       100.000       100.000       100.000        93.658        89.538      -134.660       101.651        99.085        98.547        98.543
        36.001       100.000       100.000       100.000        94.371        90.647      -110.755       101.519        99.213        98.729        98.725
        37.001       100.000       100.000       100.000        95.009        91.648       -89.006       101.392        99.323        98.888        98.885
        38.001       100.000       100.000       100.000        95.581        92.553       -69.244       101.273        99.418        99.028        99.026
        39.001       100.000       100.000       100.000        96.092        93.369       -51.306       101.159        99.500        99.151        99.149
        40.001       100.000       100.000       100.000        96.550        94.105       -35.041       101.053        99.571        99.259        99.257
        41.001       100.000       100.000       100.000        96.958        94.767       -20.307       100.953        99.632        99.354        99.352
        42.001       100.000       100.000       100.000        97.323        95.364        -6.971       100.861        99.685        99.438        99.436
        43.001       100.000       100.000       100.000        97.649        95.901         5.088       100.774        99.731        99.511        99.509
        44.001       100.000       100.000       100.000        97.939        96.383        15.985       100.695        99.770        99.575        99.574
        45.001       100.000       100.000       100.000        98.198        96.817        25.823       100.621        99.804        99.632        99.631
        46.001       100.000       100.000       100.000        98.428        97.206        34.702       100.553        99.833        99.681        99.680
        47.001       100.000       100.000       100.000        98.633        97.556        42.714       100.490        99.858        99.725        99.724
        48.001       100.000       100.000       100.000        98.817        97.871        49.958       100.432        99.880        99.764        99.763
        49.001       100.000       100.000       100.000        98.981        98.156        56.530       100.379        99.899        99.798        99.797
        50.001       100.000       100.000       100.000        99.128        98.413        62.503       100.330        99.915        99.828        99.827
        51.001       100.000       100.000       100.000        99.260        98.646        67.929       100.284        99.930        99.855        99.854
        52.001       100.000       100.000       100.000        99.379        98.858        72.871       100.242        99.942        99.879        99.878
        53.001       100.000       100.000       100.000        99.487        99.050        77.395       100.203        99.953        99.900        99.900
        54.001       100.000       100.000       100.000        99.584        99.226        81.539       100.167        99.963        99.920        99.919
        55.001       100.000       100.000       100.000        99.672        99.387        85.335       100.134        99.971        99.937        99.937
        56.001       100.000       100.000       100.000        99.751        99.533        88.811       100.103        99.979        99.952        99.952
        57.001       100.000       100.000       100.000        99.823        99.666        91.993       100.074        99.985        99.966        99.966
        58.001       100.000       100.000       100.000        99.888        99.788        94.904       100.047        99.991        99.979        99.979
        59.001       100.000       100.000       100.000        99.947        99.899        97.567       100.023        99.996        99.990        99.990
        60.001       100.000       100.000       100.000       100.000       100.000       100.002       100.000       100.000       100.000       100.000
