        #psi         z0.         z1.        z10.       z100.      z1000.     z10000.        z-1.       z-10.      z-100.     z-1000.    z-10000.
   10.71E-06    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00
   11.17E-06    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00
   11.65E-06    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00
   12.16E-06    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00
   12.68E-06    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00
   13.23E-06    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00
   13.80E-06    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00
   14.40E-06    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00
   15.02E-06    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00
   15.67E-06    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00
   16.35E-06    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00
   17.06E-06    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00
   17.79E-06    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00
   18.56E-06    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00
   19.36E-06    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00
   20.20E-06    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00
   21.08E-06    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00
   21.99E-06    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00
   22.94E-06    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00
   23.93E-06    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00
   24.96E-06    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00
   26.04E-06    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00
   27.17E-06    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00
   28.35E-06    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00
