        #psi         h0.         h1.        h10.       h100.      h1000.     h10000.        h-1.       h-10.      h-100.     h-1000.    h-10000.
   17.06E-06    3.26E+00    7.99E+06  746.29E+03    7.86E+03   78.69E+00  786.88E-03   -7.99E+06 -746.29E+03   -7.86E+03  -78.69E+00 -786.88E-03
   17.79E-06    3.27E+00    7.55E+06  775.05E+03    8.20E+03   82.09E+00  820.91E-03   -7.55E+06 -775.05E+03   -8.20E+03  -82.09E+00 -820.91E-03
   18.56E-06    3.25E+00    7.09E+06  804.39E+03    8.56E+03   85.64E+00  856.41E-03   -7.09E+06 -804.39E+03   -8.56E+03  -85.64E+00 -856.41E-03
   19.36E-06    3.26E+00    6.70E+06  834.86E+03    8.93E+03   89.34E+00  893.44E-03   -6.70E+06 -834.86E+03   -8.93E+03  -89.34E+00 -893.44E-03
   20.20E-06    3.25E+00    6.27E+06  865.72E+03    9.31E+03   93.21E+00  932.08E-03   -6.27E+06 -865.72E+03   -9.31E+03  -93.21E+00 -932.08E-03
   21.08E-06    3.26E+00    5.89E+06  897.54E+03    9.72E+03   97.24E+00  972.38E-03   -5.89E+06 -897.54E+03   -9.72E+03  -97.24E+00 -972.38E-03
   21.99E-06    3.27E+00    5.51E+06  929.94E+03   10.14E+03  101.44E+00    1.01E+00   -5.51E+06 -929.94E+03  -10.14E+03 -101.44E+00   -1.01E+00
   22.94E-06    3.26E+00    5.15E+06  962.91E+03   10.57E+03  105.83E+00    1.06E+00   -5.15E+06 -962.91E+03  -10.57E+03 -105.83E+00   -1.06E+00
   23.93E-06    3.26E+00    4.81E+06  996.42E+03   11.03E+03  110.41E+00    1.10E+00   -4.81E+06 -996.42E+03  -11.03E+03 -110.41E+00   -1.10E+00
   24.96E-06    3.26E+00    4.49E+06    1.03E+06   11.50E+03  115.18E+00    1.15E+00   -4.49E+06   -1.03E+06  -11.50E+03 -115.18E+00   -1.15E+00
   26.04E-06    3.26E+00    4.18E+06    1.06E+06   12.00E+03  120.16E+00    1.20E+00   -4.18E+06   -1.06E+06  -12.00E+03 -120.16E+00   -1.20E+00
   27.17E-06    3.26E+00    3.89E+06    1.10E+06   12.52E+03  125.36E+00    1.25E+00   -3.89E+06   -1.10E+06  -12.52E+03 -125.36E+00   -1.25E+00
   28.35E-06    3.25E+00    3.62E+06    1.13E+06   13.06E+03  130.78E+00    1.31E+00   -3.62E+06   -1.13E+06  -13.06E+03 -130.78E+00   -1.31E+00
   29.57E-06    3.26E+00    3.36E+06    1.17E+06   13.62E+03  136.43E+00    1.36E+00   -3.36E+06   -1.17E+06  -13.62E+03 -136.43E+00   -1.36E+00
   30.85E-06    3.26E+00    3.12E+06    1.20E+06   14.21E+03  142.33E+00    1.42E+00   -3.12E+06   -1.20E+06  -14.21E+03 -142.33E+00   -1.42E+00
   32.18E-06    3.25E+00    2.89E+06    1.24E+06   14.82E+03  148.49E+00    1.48E+00   -2.89E+06   -1.24E+06  -14.82E+03 -148.49E+00   -1.48E+00
   33.58E-06    3.26E+00    2.68E+06    1.27E+06   15.46E+03  154.91E+00    1.55E+00   -2.68E+06   -1.27E+06  -15.46E+03 -154.91E+00   -1.55E+00
   35.03E-06    3.25E+00    2.49E+06    1.31E+06   16.12E+03  161.61E+00    1.62E+00   -2.49E+06   -1.31E+06  -16.12E+03 -161.61E+00   -1.62E+00
   36.54E-06    3.25E+00    2.30E+06    1.34E+06   16.82E+03  168.59E+00    1.69E+00   -2.30E+06   -1.34E+06  -16.82E+03 -168.59E+00   -1.69E+00
   38.12E-06    3.26E+00    2.13E+06    1.37E+06   17.54E+03  175.88E+00    1.76E+00   -2.13E+06   -1.37E+06  -17.54E+03 -175.88E+00   -1.76E+00
   39.77E-06    3.25E+00    1.97E+06    1.40E+06   18.30E+03  183.49E+00    1.83E+00   -1.97E+06   -1.40E+06  -18.30E+03 -183.49E+00   -1.83E+00
   41.49E-06    3.26E+00    1.82E+06    1.43E+06   19.08E+03  191.42E+00    1.91E+00   -1.82E+06   -1.43E+06  -19.08E+03 -191.42E+00   -1.91E+00
   43.29E-06    3.26E+00    1.68E+06    1.46E+06   19.90E+03  199.70E+00    2.00E+00   -1.68E+06   -1.46E+06  -19.90E+03 -199.70E+00   -2.00E+00
   45.16E-06    3.26E+00    1.55E+06    1.49E+06   20.76E+03  208.34E+00    2.08E+00   -1.55E+06   -1.49E+06  -20.76E+03 -208.34E+00   -2.08E+00
   47.11E-06    3.26E+00    1.43E+06    1.51E+06   21.65E+03  217.35E+00    2.17E+00   -1.43E+06   -1.51E+06  -21.65E+03 -217.35E+00   -2.17E+00
   49.15E-06    3.26E+00    1.32E+06    1.53E+06   22.57E+03  226.74E+00    2.27E+00   -1.32E+06   -1.53E+06  -22.57E+03 -226.74E+00   -2.27E+00
   51.27E-06    3.25E+00    1.22E+06    1.55E+06   23.54E+03  236.55E+00    2.37E+00   -1.22E+06   -1.55E+06  -23.54E+03 -236.55E+00   -2.37E+00
   53.49E-06    3.26E+00    1.12E+06    1.57E+06   24.55E+03  246.78E+00    2.47E+00   -1.12E+06   -1.57E+06  -24.55E+03 -246.78E+00   -2.47E+00
   55.80E-06    3.26E+00    1.04E+06    1.58E+06   25.60E+03  257.45E+00    2.57E+00   -1.04E+06   -1.58E+06  -25.60E+03 -257.45E+00   -2.57E+00
   58.22E-06    3.26E+00  955.70E+03    1.59E+06   26.69E+03  268.58E+00    2.69E+00 -955.69E+03   -1.59E+06  -26.69E+03 -268.58E+00   -2.69E+00
   60.73E-06    3.26E+00  880.60E+03    1.59E+06   27.83E+03  280.19E+00    2.80E+00 -880.59E+03   -1.59E+06  -27.83E+03 -280.19E+00   -2.80E+00
   63.36E-06    3.26E+00  811.19E+03    1.60E+06   29.02E+03  292.31E+00    2.92E+00 -811.19E+03   -1.60E+06  -29.02E+03 -292.31E+00   -2.92E+00
   66.10E-06    3.26E+00  747.36E+03    1.60E+06   30.25E+03  304.94E+00    3.05E+00 -747.35E+03   -1.60E+06  -30.25E+03 -304.94E+00   -3.05E+00
   68.96E-06    3.26E+00  688.06E+03    1.59E+06   31.54E+03  318.13E+00    3.18E+00 -688.05E+03   -1.59E+06  -31.54E+03 -318.13E+00   -3.18E+00
   71.94E-06    3.26E+00  633.60E+03    1.58E+06   32.88E+03  331.88E+00    3.32E+00 -633.60E+03   -1.58E+06  -32.88E+03 -331.88E+00   -3.32E+00
   75.05E-06    3.26E+00  583.03E+03    1.57E+06   34.27E+03  346.23E+00    3.46E+00 -583.02E+03   -1.57E+06  -34.27E+03 -346.23E+00   -3.46E+00
   78.30E-06    3.26E+00  536.77E+03    1.55E+06   35.72E+03  361.20E+00    3.61E+00 -536.76E+03   -1.55E+06  -35.72E+03 -361.20E+00   -3.61E+00
   81.68E-06    3.26E+00  493.92E+03    1.53E+06   37.22E+03  376.82E+00    3.77E+00 -493.92E+03   -1.53E+06  -37.22E+03 -376.82E+00   -3.77E+00
   85.22E-06    3.26E+00  454.55E+03    1.50E+06   38.79E+03  393.11E+00    3.93E+00 -454.54E+03   -1.50E+06  -38.79E+03 -393.11E+00   -3.93E+00
   88.90E-06    3.26E+00  418.18E+03    1.48E+06   40.42E+03  410.10E+00    4.10E+00 -418.17E+03   -1.48E+06  -40.42E+03 -410.10E+00   -4.10E+00
   92.75E-06    3.26E+00  384.75E+03    1.44E+06   42.12E+03  427.83E+00    4.28E+00 -384.75E+03   -1.44E+06  -42.12E+03 -427.83E+00   -4.28E+00
   96.76E-06    3.26E+00  353.87E+03    1.41E+06   43.88E+03  446.33E+00    4.46E+00 -353.87E+03   -1.41E+06  -43.88E+03 -446.33E+00   -4.46E+00
  100.94E-06    3.26E+00  325.46E+03    1.37E+06   45.70E+03  465.62E+00    4.66E+00 -325.45E+03   -1.37E+06  -45.70E+03 -465.62E+00   -4.66E+00
  105.31E-06    3.26E+00  299.34E+03    1.33E+06   47.60E+03  485.75E+00    4.86E+00 -299.34E+03   -1.33E+06  -47.60E+03 -485.75E+00   -4.86E+00
  109.86E-06    3.26E+00  275.30E+03    1.29E+06   49.57E+03  506.75E+00    5.07E+00 -275.29E+03   -1.29E+06  -49.57E+03 -506.75E+00   -5.07E+00
  114.61E-06    3.26E+00  253.15E+03    1.24E+06   51.62E+03  528.65E+00    5.29E+00 -253.14E+03   -1.24E+06  -51.62E+03 -528.65E+00   -5.29E+00
  119.57E-06    3.26E+00  232.78E+03    1.20E+06   53.73E+03  551.50E+00    5.52E+00 -232.78E+03   -1.20E+06  -53.73E+03 -551.50E+00   -5.52E+00
  124.74E-06    3.26E+00  214.02E+03    1.15E+06   55.93E+03  575.33E+00    5.75E+00 -214.01E+03   -1.15E+06  -55.93E+03 -575.33E+00   -5.75E+00
  130.13E-06    3.26E+00  196.76E+03    1.10E+06   58.20E+03  600.20E+00    6.00E+00 -196.76E+03   -1.10E+06  -58.20E+03 -600.20E+00   -6.00E+00
  135.76E-06    3.26E+00  180.90E+03    1.06E+06   60.55E+03  626.14E+00    6.26E+00 -180.89E+03   -1.06E+06  -60.55E+03 -626.14E+00   -6.26E+00
  141.63E-06    3.26E+00  166.29E+03    1.01E+06   62.99E+03  653.19E+00    6.53E+00 -166.29E+03   -1.01E+06  -62.99E+03 -653.19E+00   -6.53E+00
  147.75E-06    3.26E+00  152.87E+03  958.13E+03   65.50E+03  681.42E+00    6.82E+00 -152.87E+03 -958.13E+03  -65.50E+03 -681.42E+00   -6.82E+00
  154.14E-06    3.26E+00  140.52E+03  910.11E+03   68.09E+03  710.86E+00    7.11E+00 -140.51E+03 -910.10E+03  -68.09E+03 -710.86E+00   -7.11E+00
  160.81E-06    3.26E+00  129.17E+03  862.78E+03   70.77E+03  741.57E+00    7.42E+00 -129.16E+03 -862.78E+03  -70.77E+03 -741.57E+00   -7.42E+00
  167.76E-06    3.26E+00  118.73E+03  816.31E+03   73.53E+03  773.61E+00    7.74E+00 -118.72E+03 -816.30E+03  -73.53E+03 -773.61E+00   -7.74E+00
  175.02E-06    3.26E+00  109.13E+03  770.89E+03   76.37E+03  807.02E+00    8.07E+00 -109.12E+03 -770.88E+03  -76.37E+03 -807.02E+00   -8.07E+00
  182.59E-06    3.26E+00  100.30E+03  726.70E+03   79.29E+03  841.88E+00    8.42E+00 -100.29E+03 -726.70E+03  -79.29E+03 -841.88E+00   -8.42E+00
  190.48E-06    3.26E+00   92.19E+03  683.90E+03   82.28E+03  878.24E+00    8.79E+00  -92.18E+03 -683.92E+03  -82.28E+03 -878.24E+00   -8.79E+00
  198.72E-06    3.26E+00   84.72E+03  642.61E+03   85.36E+03  916.16E+00    9.17E+00  -84.72E+03 -642.61E+03  -85.36E+03 -916.16E+00   -9.17E+00
  207.31E-06    3.26E+00   77.86E+03  602.86E+03   88.50E+03  955.72E+00    9.56E+00  -77.86E+03 -602.87E+03  -88.50E+03 -955.72E+00   -9.56E+00
  216.28E-06    3.26E+00   71.56E+03  564.79E+03   91.71E+03  996.98E+00    9.98E+00  -71.55E+03 -564.79E+03  -91.71E+03 -996.98E+00   -9.98E+00
  225.63E-06    3.26E+00   65.76E+03  528.39E+03   94.99E+03    1.04E+03   10.41E+00  -65.76E+03 -528.38E+03  -94.99E+03   -1.04E+03  -10.41E+00
  235.39E-06    3.26E+00   60.44E+03  493.72E+03   98.33E+03    1.08E+03   10.86E+00  -60.43E+03 -493.71E+03  -98.33E+03   -1.08E+03  -10.86E+00
  245.57E-06    3.26E+00   55.54E+03  460.75E+03  101.71E+03    1.13E+03   11.33E+00  -55.53E+03 -460.75E+03 -101.71E+03   -1.13E+03  -11.33E+00
  256.19E-06    3.26E+00   51.04E+03  429.52E+03  105.14E+03    1.18E+03   11.82E+00  -51.03E+03 -429.53E+03 -105.14E+03   -1.18E+03  -11.82E+00
