        #psi         h0.         h1.        h10.       h100.      h1000.     h10000.        h-1.       h-10.      h-100.     h-1000.    h-10000.
  460.11E-03    3.26E+00    3.27E+00    3.41E+00    4.84E+00   19.09E+00  152.58E+00    3.24E+00    3.10E+00    1.67E+00  -12.59E+00 -147.11E+00
  480.00E-03    3.26E+00    3.27E+00    3.40E+00    4.71E+00   17.81E+00  141.08E+00    3.24E+00    3.11E+00    1.80E+00  -11.31E+00 -135.52E+00
  500.76E-03    3.26E+00    3.27E+00    3.39E+00    4.59E+00   16.63E+00  130.41E+00    3.24E+00    3.12E+00    1.92E+00  -10.12E+00 -124.78E+00
  522.42E-03    3.26E+00    3.27E+00    3.38E+00    4.49E+00   15.54E+00  120.53E+00    3.24E+00    3.13E+00    2.03E+00   -9.04E+00 -114.84E+00
  545.01E-03    3.26E+00    3.27E+00    3.37E+00    4.39E+00   14.54E+00  111.39E+00    3.25E+00    3.14E+00    2.13E+00   -8.04E+00 -105.63E+00
  568.58E-03    3.26E+00    3.27E+00    3.36E+00    4.29E+00   13.63E+00  102.93E+00    3.25E+00    3.15E+00    2.22E+00   -7.12E+00  -97.11E+00
  593.16E-03    3.26E+00    3.27E+00    3.35E+00    4.21E+00   12.79E+00   95.11E+00    3.25E+00    3.16E+00    2.30E+00   -6.28E+00  -89.24E+00
  618.82E-03    3.26E+00    3.27E+00    3.34E+00    4.13E+00   12.01E+00   87.88E+00    3.25E+00    3.17E+00    2.38E+00   -5.51E+00  -81.96E+00
  645.58E-03    3.26E+00    3.26E+00    3.34E+00    4.06E+00   11.30E+00   81.21E+00    3.25E+00    3.18E+00    2.45E+00   -4.80E+00  -75.24E+00
  673.49E-03    3.26E+00    3.26E+00    3.33E+00    4.00E+00   10.65E+00   75.05E+00    3.25E+00    3.18E+00    2.52E+00   -4.14E+00  -69.04E+00
  702.62E-03    3.26E+00    3.26E+00    3.32E+00    3.94E+00   10.05E+00   69.36E+00    3.25E+00    3.19E+00    2.58E+00   -3.54E+00  -63.31E+00
  733.00E-03    3.26E+00    3.26E+00    3.32E+00    3.88E+00    9.50E+00   64.11E+00    3.25E+00    3.19E+00    2.63E+00   -2.99E+00  -58.03E+00
  764.70E-03    3.26E+00    3.26E+00    3.31E+00    3.83E+00    8.99E+00   59.27E+00    3.25E+00    3.20E+00    2.68E+00   -2.48E+00  -53.15E+00
  797.77E-03    3.26E+00    3.26E+00    3.31E+00    3.78E+00    8.53E+00   54.81E+00    3.25E+00    3.20E+00    2.73E+00   -2.02E+00  -48.66E+00
  832.27E-03    3.26E+00    3.26E+00    3.30E+00    3.74E+00    8.10E+00   50.69E+00    3.25E+00    3.21E+00    2.77E+00   -1.59E+00  -44.52E+00
  868.26E-03    3.26E+00    3.26E+00    3.30E+00    3.70E+00    7.70E+00   46.90E+00    3.25E+00    3.21E+00    2.81E+00   -1.20E+00  -40.70E+00
  905.80E-03    3.26E+00    3.26E+00    3.30E+00    3.67E+00    7.34E+00   43.41E+00    3.25E+00    3.22E+00    2.85E+00 -833.88E-03  -37.18E+00
  944.97E-03    3.26E+00    3.26E+00    3.29E+00    3.63E+00    7.01E+00   40.20E+00    3.25E+00    3.22E+00    2.88E+00 -501.81E-03  -33.94E+00
  985.84E-03    3.26E+00    3.26E+00    3.29E+00    3.60E+00    6.71E+00   37.23E+00    3.25E+00    3.22E+00    2.91E+00 -196.68E-03  -30.96E+00
    1.03E+00    3.26E+00    3.26E+00    3.29E+00    3.57E+00    6.43E+00   34.51E+00    3.25E+00    3.22E+00    2.94E+00   83.68E-03  -28.21E+00
    1.07E+00    3.26E+00    3.26E+00    3.29E+00    3.55E+00    6.17E+00   31.99E+00    3.25E+00    3.23E+00    2.96E+00  341.28E-03  -25.68E+00
    1.12E+00    3.26E+00    3.26E+00    3.28E+00    3.52E+00    5.93E+00   29.68E+00    3.25E+00    3.23E+00    2.99E+00  577.98E-03  -23.36E+00
    1.17E+00    3.26E+00    3.26E+00    3.28E+00    3.50E+00    5.72E+00   27.56E+00    3.25E+00    3.23E+00    3.01E+00  795.46E-03  -21.22E+00
    1.22E+00    3.26E+00    3.26E+00    3.28E+00    3.48E+00    5.52E+00   25.60E+00    3.25E+00    3.23E+00    3.03E+00  995.29E-03  -19.24E+00
    1.27E+00    3.26E+00    3.26E+00    3.28E+00    3.46E+00    5.33E+00   23.80E+00    3.25E+00    3.24E+00    3.05E+00    1.18E+00  -17.43E+00
    1.33E+00    3.26E+00    3.26E+00    3.28E+00    3.45E+00    5.16E+00   22.14E+00    3.25E+00    3.24E+00    3.07E+00    1.35E+00  -15.76E+00
    1.38E+00    3.26E+00    3.26E+00    3.27E+00    3.43E+00    5.01E+00   20.62E+00    3.25E+00    3.24E+00    3.08E+00    1.50E+00  -14.23E+00
    1.44E+00    3.26E+00    3.26E+00    3.27E+00    3.42E+00    4.87E+00   19.22E+00    3.25E+00    3.24E+00    3.10E+00    1.65E+00  -12.82E+00
    1.51E+00    3.26E+00    3.26E+00    3.27E+00    3.40E+00    4.74E+00   17.93E+00    3.25E+00    3.24E+00    3.11E+00    1.78E+00  -11.52E+00
    1.57E+00    3.26E+00    3.26E+00    3.27E+00    3.39E+00    4.62E+00   16.74E+00    3.26E+00    3.24E+00    3.12E+00    1.90E+00  -10.32E+00
    1.64E+00    3.26E+00    3.26E+00    3.27E+00    3.38E+00    4.51E+00   15.65E+00    3.26E+00    3.24E+00    3.13E+00    2.01E+00   -9.23E+00
    1.71E+00    3.26E+00    3.26E+00    3.27E+00    3.37E+00    4.40E+00   14.65E+00    3.26E+00    3.24E+00    3.14E+00    2.11E+00   -8.22E+00
    1.78E+00    3.26E+00    3.26E+00    3.27E+00    3.36E+00    4.31E+00   13.73E+00    3.26E+00    3.25E+00    3.15E+00    2.20E+00   -7.29E+00
    1.86E+00    3.26E+00    3.26E+00    3.27E+00    3.35E+00    4.23E+00   12.88E+00    3.26E+00    3.25E+00    3.16E+00    2.29E+00   -6.43E+00
    1.94E+00    3.26E+00    3.26E+00    3.27E+00    3.35E+00    4.15E+00   12.10E+00    3.26E+00    3.25E+00    3.17E+00    2.37E+00   -5.65E+00
    2.02E+00    3.26E+00    3.26E+00    3.26E+00    3.34E+00    4.07E+00   11.38E+00    3.26E+00    3.25E+00    3.17E+00    2.44E+00   -4.93E+00
    2.11E+00    3.26E+00    3.26E+00    3.26E+00    3.33E+00    4.01E+00   10.72E+00    3.26E+00    3.25E+00    3.18E+00    2.50E+00   -4.26E+00
    2.20E+00    3.26E+00    3.26E+00    3.26E+00    3.33E+00    3.95E+00   10.12E+00    3.26E+00    3.25E+00    3.19E+00    2.57E+00   -3.65E+00
    2.30E+00    3.26E+00    3.26E+00    3.26E+00    3.32E+00    3.89E+00    9.56E+00    3.26E+00    3.25E+00    3.19E+00    2.62E+00   -3.09E+00
    2.40E+00    3.26E+00    3.26E+00    3.26E+00    3.31E+00    3.84E+00    9.05E+00    3.26E+00    3.25E+00    3.20E+00    2.67E+00   -2.58E+00
    2.50E+00    3.26E+00    3.26E+00    3.26E+00    3.31E+00    3.79E+00    8.58E+00    3.26E+00    3.25E+00    3.20E+00    2.72E+00   -2.11E+00
    2.61E+00    3.26E+00    3.26E+00    3.26E+00    3.31E+00    3.75E+00    8.15E+00    3.26E+00    3.25E+00    3.21E+00    2.76E+00   -1.67E+00
    2.72E+00    3.26E+00    3.26E+00    3.26E+00    3.30E+00    3.71E+00    7.75E+00    3.26E+00    3.25E+00    3.21E+00    2.80E+00   -1.27E+00
    2.84E+00    3.26E+00    3.26E+00    3.26E+00    3.30E+00    3.67E+00    7.39E+00    3.26E+00    3.25E+00    3.22E+00    2.84E+00 -903.43E-03
    2.96E+00    3.26E+00    3.26E+00    3.26E+00    3.29E+00    3.64E+00    7.05E+00    3.26E+00    3.25E+00    3.22E+00    2.88E+00 -565.61E-03
    3.09E+00    3.26E+00    3.26E+00    3.26E+00    3.29E+00    3.61E+00    6.74E+00    3.26E+00    3.25E+00    3.22E+00    2.91E+00 -255.14E-03
    3.23E+00    3.26E+00    3.26E+00    3.26E+00    3.29E+00    3.58E+00    6.46E+00    3.26E+00    3.25E+00    3.22E+00    2.93E+00   30.19E-03
    3.37E+00    3.26E+00    3.26E+00    3.26E+00    3.29E+00    3.55E+00    6.20E+00    3.26E+00    3.25E+00    3.23E+00    2.96E+00  292.42E-03
    3.51E+00    3.26E+00    3.26E+00    3.26E+00    3.28E+00    3.53E+00    5.96E+00    3.26E+00    3.25E+00    3.23E+00    2.99E+00  533.40E-03
    3.66E+00    3.26E+00    3.26E+00    3.26E+00    3.28E+00    3.51E+00    5.74E+00    3.26E+00    3.25E+00    3.23E+00    3.01E+00  754.87E-03
    3.82E+00    3.26E+00    3.26E+00    3.26E+00    3.28E+00    3.49E+00    5.54E+00    3.26E+00    3.25E+00    3.23E+00    3.03E+00  958.40E-03
    3.99E+00    3.26E+00    3.26E+00    3.26E+00    3.28E+00    3.47E+00    5.35E+00    3.26E+00    3.25E+00    3.24E+00    3.05E+00    1.15E+00
    4.16E+00    3.26E+00    3.26E+00    3.26E+00    3.28E+00    3.45E+00    5.18E+00    3.26E+00    3.26E+00    3.24E+00    3.06E+00    1.32E+00
    4.34E+00    3.26E+00    3.26E+00    3.26E+00    3.27E+00    3.43E+00    5.03E+00    3.26E+00    3.26E+00    3.24E+00    3.08E+00    1.48E+00
    4.53E+00    3.26E+00    3.26E+00    3.26E+00    3.27E+00    3.42E+00    4.88E+00    3.26E+00    3.26E+00    3.24E+00    3.09E+00    1.62E+00
    4.72E+00    3.26E+00    3.26E+00    3.26E+00    3.27E+00    3.41E+00    4.75E+00    3.26E+00    3.26E+00    3.24E+00    3.11E+00    1.75E+00
    4.93E+00    3.26E+00    3.26E+00    3.26E+00    3.27E+00    3.39E+00    4.63E+00    3.26E+00    3.26E+00    3.24E+00    3.12E+00    1.88E+00
    5.14E+00    3.26E+00    3.26E+00    3.26E+00    3.27E+00    3.38E+00    4.52E+00    3.26E+00    3.26E+00    3.24E+00    3.13E+00    1.99E+00
    5.36E+00    3.26E+00    3.26E+00    3.26E+00    3.27E+00    3.37E+00    4.41E+00    3.26E+00    3.26E+00    3.25E+00    3.14E+00    2.09E+00
    5.59E+00    3.26E+00    3.26E+00    3.26E+00    3.27E+00    3.36E+00    4.32E+00    3.26E+00    3.26E+00    3.25E+00    3.15E+00    2.19E+00
    5.83E+00    3.26E+00    3.26E+00    3.26E+00    3.27E+00    3.36E+00    4.23E+00    3.26E+00    3.26E+00    3.25E+00    3.16E+00    2.28E+00
    6.09E+00    3.26E+00    3.26E+00    3.26E+00    3.27E+00    3.35E+00    4.15E+00    3.26E+00    3.26E+00    3.25E+00    3.17E+00    2.36E+00
    6.35E+00    3.26E+00    3.26E+00    3.26E+00    3.27E+00    3.34E+00    4.08E+00    3.26E+00    3.26E+00    3.25E+00    3.18E+00    2.43E+00
    6.62E+00    3.26E+00    3.26E+00    3.26E+00    3.27E+00    3.33E+00    4.01E+00    3.26E+00    3.26E+00    3.25E+00    3.18E+00    2.50E+00
    6.91E+00    3.26E+00    3.26E+00    3.26E+00    3.27E+00    3.33E+00    3.95E+00    3.26E+00    3.26E+00    3.25E+00    3.19E+00    2.56E+00
    7.21E+00    3.26E+00    3.26E+00    3.26E+00    3.26E+00    3.32E+00    3.90E+00    3.26E+00    3.26E+00    3.25E+00    3.19E+00    2.62E+00
    7.52E+00    3.26E+00    3.26E+00    3.26E+00    3.26E+00    3.32E+00    3.84E+00    3.26E+00    3.26E+00    3.25E+00    3.20E+00    2.67E+00
    7.85E+00    3.26E+00    3.26E+00    3.26E+00    3.26E+00    3.31E+00    3.80E+00    3.26E+00    3.26E+00    3.25E+00    3.21E+00    2.72E+00
    8.19E+00    3.26E+00    3.26E+00    3.26E+00    3.26E+00    3.31E+00    3.75E+00    3.26E+00    3.26E+00    3.25E+00    3.21E+00    2.76E+00
    8.54E+00    3.26E+00    3.26E+00    3.26E+00    3.26E+00    3.30E+00    3.71E+00    3.26E+00    3.26E+00    3.25E+00    3.21E+00    2.80E+00
    8.91E+00    3.26E+00    3.26E+00    3.26E+00    3.26E+00    3.30E+00    3.67E+00    3.26E+00    3.26E+00    3.26E+00    3.22E+00    2.84E+00
    9.30E+00    3.26E+00    3.26E+00    3.26E+00    3.26E+00    3.30E+00    3.64E+00    3.26E+00    3.26E+00    3.26E+00    3.22E+00    2.88E+00
    9.70E+00    3.26E+00    3.26E+00    3.26E+00    3.26E+00    3.30E+00    3.61E+00    3.26E+00    3.26E+00    3.26E+00    3.23E+00    2.91E+00
   10.12E+00    3.26E+00    3.26E+00    3.26E+00    3.26E+00    3.29E+00    3.58E+00    3.26E+00    3.26E+00    3.26E+00    3.23E+00    2.94E+00
   10.55E+00    3.26E+00    3.26E+00    3.26E+00    3.26E+00    3.29E+00    3.55E+00    3.26E+00    3.26E+00    3.26E+00    3.23E+00    2.97E+00
   11.01E+00    3.26E+00    3.26E+00    3.26E+00    3.26E+00    3.29E+00    3.53E+00    3.26E+00    3.26E+00    3.26E+00    3.23E+00    2.99E+00
   11.49E+00    3.26E+00    3.26E+00    3.26E+00    3.26E+00    3.29E+00    3.51E+00    3.26E+00    3.26E+00    3.26E+00    3.24E+00    3.01E+00
   11.98E+00    3.26E+00    3.26E+00    3.26E+00    3.26E+00    3.28E+00    3.49E+00    3.26E+00    3.26E+00    3.26E+00    3.24E+00    3.03E+00
   12.50E+00    3.26E+00    3.26E+00    3.26E+00    3.26E+00    3.28E+00    3.47E+00    3.26E+00    3.26E+00    3.26E+00    3.24E+00    3.05E+00
   13.04E+00    3.26E+00    3.26E+00    3.26E+00    3.27E+00    3.28E+00    3.45E+00    3.26E+00    3.26E+00    3.26E+00    3.24E+00    3.07E+00
   13.61E+00    3.26E+00    3.26E+00    3.26E+00    3.27E+00    3.28E+00    3.44E+00    3.26E+00    3.26E+00    3.26E+00    3.25E+00    3.09E+00
   14.19E+00    3.26E+00    3.26E+00    3.26E+00    3.27E+00    3.28E+00    3.42E+00    3.26E+00    3.26E+00    3.26E+00    3.25E+00    3.10E+00
   14.81E+00    3.27E+00    3.27E+00    3.27E+00    3.27E+00    3.28E+00    3.41E+00    3.27E+00    3.27E+00    3.26E+00    3.25E+00    3.12E+00
   15.45E+00    3.27E+00    3.27E+00    3.27E+00    3.27E+00    3.28E+00    3.40E+00    3.27E+00    3.27E+00    3.26E+00    3.25E+00    3.13E+00
   16.12E+00    3.27E+00    3.27E+00    3.27E+00    3.27E+00    3.28E+00    3.39E+00    3.27E+00    3.27E+00    3.27E+00    3.25E+00    3.14E+00
   16.81E+00    3.27E+00    3.27E+00    3.27E+00    3.27E+00    3.28E+00    3.38E+00    3.27E+00    3.27E+00    3.27E+00    3.26E+00    3.16E+00
   17.54E+00    3.27E+00    3.27E+00    3.27E+00    3.27E+00    3.28E+00    3.37E+00    3.27E+00    3.27E+00    3.27E+00    3.26E+00    3.17E+00
   18.30E+00    3.27E+00    3.27E+00    3.27E+00    3.27E+00    3.28E+00    3.36E+00    3.27E+00    3.27E+00    3.27E+00    3.26E+00    3.18E+00
   19.09E+00    3.27E+00    3.27E+00    3.27E+00    3.27E+00    3.28E+00    3.36E+00    3.27E+00    3.27E+00    3.27E+00    3.26E+00    3.19E+00
   19.92E+00    3.27E+00    3.27E+00    3.27E+00    3.27E+00    3.28E+00    3.35E+00    3.27E+00    3.27E+00    3.27E+00    3.26E+00    3.19E+00
   20.78E+00    3.27E+00    3.27E+00    3.27E+00    3.27E+00    3.28E+00    3.35E+00    3.27E+00    3.27E+00    3.27E+00    3.27E+00    3.20E+00
   21.68E+00    3.28E+00    3.28E+00    3.28E+00    3.28E+00    3.28E+00    3.34E+00    3.28E+00    3.28E+00    3.28E+00    3.27E+00    3.21E+00
   22.61E+00    3.28E+00    3.28E+00    3.28E+00    3.28E+00    3.28E+00    3.34E+00    3.28E+00    3.28E+00    3.28E+00    3.27E+00    3.22E+00
   23.59E+00    3.28E+00    3.28E+00    3.28E+00    3.28E+00    3.28E+00    3.33E+00    3.28E+00    3.28E+00    3.28E+00    3.27E+00    3.23E+00
   24.61E+00    3.28E+00    3.28E+00    3.28E+00    3.28E+00    3.29E+00    3.33E+00    3.28E+00    3.28E+00    3.28E+00    3.28E+00    3.23E+00
   25.68E+00    3.28E+00    3.28E+00    3.28E+00    3.28E+00    3.29E+00    3.33E+00    3.28E+00    3.28E+00    3.28E+00    3.28E+00    3.24E+00
   26.79E+00    3.29E+00    3.29E+00    3.29E+00    3.29E+00    3.29E+00    3.33E+00    3.29E+00    3.29E+00    3.29E+00    3.28E+00    3.25E+00
   27.94E+00    3.29E+00    3.29E+00    3.29E+00    3.29E+00    3.29E+00    3.33E+00    3.29E+00    3.29E+00    3.29E+00    3.29E+00    3.25E+00
   29.15E+00    3.29E+00    3.29E+00    3.29E+00    3.29E+00    3.30E+00    3.32E+00    3.29E+00    3.29E+00    3.29E+00    3.29E+00    3.26E+00
   30.41E+00    3.29E+00    3.29E+00    3.29E+00    3.30E+00    3.30E+00    3.32E+00    3.29E+00    3.29E+00    3.29E+00    3.29E+00    3.26E+00
   31.73E+00    3.30E+00    3.30E+00    3.30E+00    3.30E+00    3.30E+00    3.33E+00    3.30E+00    3.30E+00    3.30E+00    3.30E+00    3.27E+00
   33.10E+00    3.30E+00    3.30E+00    3.30E+00    3.30E+00    3.30E+00    3.33E+00    3.30E+00    3.30E+00    3.30E+00    3.30E+00    3.28E+00
   34.53E+00    3.31E+00    3.31E+00    3.31E+00    3.31E+00    3.31E+00    3.33E+00    3.31E+00    3.31E+00    3.31E+00    3.30E+00    3.28E+00
   36.03E+00    3.31E+00    3.31E+00    3.31E+00    3.31E+00    3.31E+00    3.33E+00    3.31E+00    3.31E+00    3.31E+00    3.31E+00    3.29E+00
   37.58E+00    3.32E+00    3.32E+00    3.32E+00    3.32E+00    3.32E+00    3.33E+00    3.32E+00    3.32E+00    3.32E+00    3.31E+00    3.30E+00
   39.21E+00    3.32E+00    3.32E+00    3.32E+00    3.32E+00    3.32E+00    3.34E+00    3.32E+00    3.32E+00    3.32E+00    3.32E+00    3.31E+00
   40.90E+00    3.33E+00    3.33E+00    3.33E+00    3.33E+00    3.33E+00    3.34E+00    3.33E+00    3.33E+00    3.33E+00    3.33E+00    3.31E+00
   42.67E+00    3.33E+00    3.33E+00    3.33E+00    3.33E+00    3.33E+00    3.34E+00    3.33E+00    3.33E+00    3.33E+00    3.33E+00    3.32E+00
   44.52E+00    3.34E+00    3.34E+00    3.34E+00    3.34E+00    3.34E+00    3.35E+00    3.34E+00    3.34E+00    3.34E+00    3.34E+00    3.33E+00
   46.44E+00    3.35E+00    3.35E+00    3.35E+00    3.35E+00    3.35E+00    3.36E+00    3.35E+00    3.35E+00    3.35E+00    3.35E+00    3.34E+00
   48.45E+00    3.36E+00    3.36E+00    3.36E+00    3.36E+00    3.36E+00    3.36E+00    3.36E+00    3.36E+00    3.36E+00    3.35E+00    3.35E+00
   50.55E+00    3.36E+00    3.36E+00    3.36E+00    3.36E+00    3.37E+00    3.37E+00    3.36E+00    3.36E+00    3.36E+00    3.36E+00    3.36E+00
   52.73E+00    3.37E+00    3.37E+00    3.37E+00    3.37E+00    3.37E+00    3.38E+00    3.37E+00    3.37E+00    3.37E+00    3.37E+00    3.37E+00
   55.01E+00    3.38E+00    3.38E+00    3.38E+00    3.38E+00    3.39E+00    3.39E+00    3.38E+00    3.38E+00    3.38E+00    3.38E+00    3.38E+00
   57.39E+00    3.40E+00    3.40E+00    3.40E+00    3.40E+00    3.40E+00    3.40E+00    3.40E+00    3.40E+00    3.40E+00    3.40E+00    3.39E+00
   59.87E+00    3.41E+00    3.41E+00    3.41E+00    3.41E+00    3.41E+00    3.41E+00    3.41E+00    3.41E+00    3.41E+00    3.41E+00    3.41E+00
   62.46E+00    3.42E+00    3.42E+00    3.42E+00    3.42E+00    3.42E+00    3.43E+00    3.42E+00    3.42E+00    3.42E+00    3.42E+00    3.42E+00
   65.16E+00    3.44E+00    3.44E+00    3.44E+00    3.44E+00    3.44E+00    3.44E+00    3.44E+00    3.44E+00    3.44E+00    3.44E+00    3.44E+00
   67.98E+00    3.46E+00    3.46E+00    3.46E+00    3.46E+00    3.46E+00    3.46E+00    3.46E+00    3.46E+00    3.46E+00    3.46E+00    3.45E+00
   70.92E+00    3.47E+00    3.47E+00    3.47E+00    3.47E+00    3.47E+00    3.47E+00    3.47E+00    3.47E+00    3.47E+00    3.47E+00    3.47E+00
   73.99E+00    3.49E+00    3.49E+00    3.49E+00    3.49E+00    3.49E+00    3.49E+00    3.49E+00    3.49E+00    3.49E+00    3.49E+00    3.49E+00
   77.19E+00    3.52E+00    3.52E+00    3.52E+00    3.52E+00    3.52E+00    3.52E+00    3.52E+00    3.52E+00    3.52E+00    3.52E+00    3.52E+00
   80.53E+00    3.54E+00    3.54E+00    3.54E+00    3.54E+00    3.54E+00    3.54E+00    3.54E+00    3.54E+00    3.54E+00    3.54E+00    3.54E+00
   84.01E+00    3.57E+00    3.57E+00    3.57E+00    3.57E+00    3.57E+00    3.57E+00    3.57E+00    3.57E+00    3.57E+00    3.57E+00    3.57E+00
   87.64E+00    3.60E+00    3.60E+00    3.60E+00    3.60E+00    3.60E+00    3.59E+00    3.60E+00    3.60E+00    3.60E+00    3.60E+00    3.60E+00
   91.43E+00    3.63E+00    3.63E+00    3.63E+00    3.63E+00    3.63E+00    3.63E+00    3.63E+00    3.63E+00    3.63E+00    3.63E+00    3.63E+00
   95.39E+00    3.67E+00    3.67E+00    3.67E+00    3.67E+00    3.66E+00    3.66E+00    3.67E+00    3.67E+00    3.67E+00    3.67E+00    3.67E+00
   99.51E+00    3.70E+00    3.70E+00    3.70E+00    3.70E+00    3.70E+00    3.70E+00    3.70E+00    3.70E+00    3.70E+00    3.71E+00    3.71E+00
  103.81E+00    3.75E+00    3.75E+00    3.75E+00    3.75E+00    3.75E+00    3.74E+00    3.75E+00    3.75E+00    3.75E+00    3.75E+00    3.75E+00
  108.30E+00    3.80E+00    3.80E+00    3.80E+00    3.80E+00    3.80E+00    3.79E+00    3.80E+00    3.80E+00    3.80E+00    3.80E+00    3.80E+00
  112.99E+00    3.85E+00    3.85E+00    3.85E+00    3.85E+00    3.85E+00    3.85E+00    3.85E+00    3.85E+00    3.85E+00    3.85E+00    3.86E+00
  117.87E+00    3.91E+00    3.91E+00    3.91E+00    3.91E+00    3.91E+00    3.91E+00    3.91E+00    3.91E+00    3.91E+00    3.91E+00    3.92E+00
  122.97E+00    3.98E+00    3.98E+00    3.98E+00    3.98E+00    3.98E+00    3.97E+00    3.98E+00    3.98E+00    3.98E+00    3.98E+00    3.98E+00
  128.29E+00    4.05E+00    4.05E+00    4.05E+00    4.05E+00    4.05E+00    4.05E+00    4.05E+00    4.05E+00    4.05E+00    4.05E+00    4.06E+00
  133.84E+00    4.13E+00    4.13E+00    4.13E+00    4.13E+00    4.13E+00    4.13E+00    4.13E+00    4.13E+00    4.13E+00    4.13E+00    4.14E+00
  139.62E+00    4.23E+00    4.23E+00    4.23E+00    4.23E+00    4.23E+00    4.22E+00    4.23E+00    4.23E+00    4.23E+00    4.23E+00    4.23E+00
  145.66E+00    4.33E+00    4.33E+00    4.33E+00    4.33E+00    4.33E+00    4.33E+00    4.33E+00    4.33E+00    4.33E+00    4.33E+00    4.34E+00
  151.96E+00    4.45E+00    4.45E+00    4.45E+00    4.45E+00    4.45E+00    4.44E+00    4.45E+00    4.45E+00    4.45E+00    4.45E+00    4.46E+00
  158.53E+00    4.59E+00    4.59E+00    4.59E+00    4.59E+00    4.58E+00    4.58E+00    4.59E+00    4.59E+00    4.59E+00    4.59E+00    4.59E+00
  165.39E+00    4.74E+00    4.74E+00    4.74E+00    4.74E+00    4.74E+00    4.73E+00    4.74E+00    4.74E+00    4.74E+00    4.74E+00    4.75E+00
  172.54E+00    4.91E+00    4.91E+00    4.91E+00    4.91E+00    4.91E+00    4.91E+00    4.91E+00    4.91E+00    4.91E+00    4.91E+00    4.92E+00
  180.00E+00    5.12E+00    5.12E+00    5.12E+00    5.11E+00    5.11E+00    5.11E+00    5.12E+00    5.12E+00    5.12E+00    5.12E+00    5.12E+00
